platform,ticker,sells,fiscal_year_end,gross_metric,gross_volume_usd,revenue_usd,take_rate_pct,revenue_basis,revenue_xbrl_tag,reported_take_rate_pct,reported_take_rate_scope,source_quote,source_url
Fiverr,FVRR,freelance services,2025-12-31,GMV,1073000000,430909000,40.16,net,Revenues,27.7,marketplace,"GMV was $1,073.0 million, down 2.2% and marketplace revenue was $297.5 million, down 1.8%,",https://www.sec.gov/Archives/edgar/data/1762301/000117891326000858/zk2634486.htm
Lyft,LYFT,rides,2025-12-31,Gross Bookings,18507000000,5895475000,31.86,gross,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Gross Bookings $ 18,507.0 $ 16,099.4 Net income as a percentage of Gross Bookings 15.4 % 0",https://www.sec.gov/Archives/edgar/data/1759509/000162828026006960/lyft-20251231.htm
Uber,UBER,rides and delivery,2025-12-31,Gross Bookings,193454000000,52017000000,26.89,gross,Revenues,,,"Gross Bookings (2) $ 162,773 $ 193,454 19 % 20 % Revenue $ 43,978 $ 52,017 18 % 18 % Incom",https://www.sec.gov/Archives/edgar/data/1543151/000154315126000015/uber-20251231.htm
Etsy,ETSY,handmade and vintage goods,2025-12-31,GMS,11916900000,2883501000,24.2,net,RevenueFromContractWithCustomerExcludingAssessedTax,24.2,total,"GMS (1)(2) $ 11,916,900 $ 12,586,952 (5.3) % Revenue $ 2,883,501 $ 2,808,332 2.7 % Revenue",https://www.sec.gov/Archives/edgar/data/1370637/000137063726000019/etsy-20251231.htm
Upwork,UPWK,freelance contracts,2025-12-31,GSV,4028386000,787784000,19.56,net,RevenueFromContractWithCustomerExcludingAssessedTax,18.7,marketplace,"GSV $ 4,028,386 1 % $ 4,008,107 (3) % $ 4,142,252 1 % Marketplace revenue $ 682,883 3 % $",https://www.sec.gov/Archives/edgar/data/1627475/000162747526000012/upwk-20251231.htm
eBay,EBAY,resale and collectibles,2025-12-31,GMV,79609000000,11100000000,13.94,net,RevenueFromContractWithCustomerExcludingAssessedTax,13.94,total,"GMV $ 79,609 $ 713 $ 78,896 $ 74,667 7 % 6 % Take rate 13.94 % 13.77 % 0.17 % Year Ended D",https://www.sec.gov/Archives/edgar/data/1065088/000106508826000027/ebay-20251231.htm
DoorDash,DASH,delivery,2025-12-31,Marketplace GOV,102018000000,13717000000,13.45,gross,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Marketplace GOV $ 66,771 $ 80,231 $ 102,018 Marketplace GOV Y/Y growth 25 % 20 % 27 % Reve",https://www.sec.gov/Archives/edgar/data/1792789/000179278926000013/dash-20251231.htm
Airbnb,ABNB,short-term stays,2025-12-31,GBV,91273000000,12241000000,13.41,net,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Gross Booking Value $ 81,784 $ 91,273 12 % Nights and Seats Booked Nights and Seats Booked",https://www.sec.gov/Archives/edgar/data/1559720/000155972026000004/abnb-20251231.htm
