platform,ticker,sells,fiscal_year_end,gross_metric,gross_volume_usd,revenue_usd,take_rate_pct,revenue_basis,revenue_xbrl_tag,reported_take_rate_pct,reported_take_rate_scope,source_quote,source_url
Lyft,LYFT,rides,2023-12-31,Gross Bookings,13775200000,4116216000,29.88,gross,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Gross Bookings $ 13,775.2 $ 12,057.3 $ 9,745.7 Net loss as a percentage of Gross Bookings",https://www.sec.gov/Archives/edgar/data/1759509/000175950924000019/lyft-20231231.htm
Uber,UBER,rides and delivery,2023-12-31,Gross Bookings,137865000000,37281000000,27.04,gross,Revenues,,,"Gross Bookings (2) $ 115,395 $ 137,865 19 % 20 % Revenue $ 31,877 $ 37,281 17 % 18 % Incom",https://www.sec.gov/Archives/edgar/data/1543151/000154315124000012/uber-20231231.htm
Etsy,ETSY,handmade and vintage goods,2023-12-31,GMS,13161196000,2748377000,20.88,net,RevenueFromContractWithCustomerExcludingAssessedTax,,total,"GMS (1)(2) $ 13,161,196 $ 13,318,396 (1.2) % $ 13,491,828 (1.3) % Revenue $ 2,748,377 $ 2,",https://www.sec.gov/Archives/edgar/data/1370637/000137063724000013/etsy-20231231.htm
Upwork,UPWK,freelance contracts,2023-12-31,GSV,4142252000,689136000,16.64,net,RevenueFromContractWithCustomerExcludingAssessedTax,,marketplace,"GSV $ 4,142,252 1 % $ 4,104,891 16 % $ 3,546,774 41 % Marketplace revenue (1) $ 586,099 13",https://www.sec.gov/Archives/edgar/data/1627475/000162747524000012/upwk-20231231.htm
eBay,EBAY,resale and collectibles,2023-12-31,GMV,73206000000,10112000000,13.81,net,RevenueFromContractWithCustomerExcludingAssessedTax,13.81,total,"GMV $ 73,206 $ 73,900 (1) % (1) % $ 73,900 $ 87,365 (15) % (11) % Take rate (3) 13.81 % 13",https://www.sec.gov/Archives/edgar/data/1065088/000106508824000036/ebay-20231231.htm
Airbnb,ABNB,short-term stays,2023-12-31,GBV,73252000000,9917000000,13.54,net,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Gross Booking Value $ 63,212 $ 73,252 16 % Nights and Experiences Booked Nights and Experi",https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/abnb-20231231.htm
DoorDash,DASH,delivery,2023-12-31,Marketplace GOV,66771000000,8635000000,12.93,gross,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Marketplace GOV $ 41,944 $ 53,414 $ 66,771 Marketplace GOV Y/Y growth 70 % 27 % 25 % Reven",https://www.sec.gov/Archives/edgar/data/1792789/000162828024005600/dash-20231231.htm
