platform,ticker,sells,fiscal_year_end,gross_metric,gross_volume_usd,revenue_usd,take_rate_pct,revenue_basis,revenue_xbrl_tag,reported_take_rate_pct,reported_take_rate_scope,source_quote,source_url
Fiverr,FVRR,freelance services,2024-12-31,GMV,1097600000,391481000,35.67,net,Revenues,,marketplace,"GMV was $1,097.6 million, down 2.0% and marketplace revenue was $303.1 million, down 1.3%,",https://www.sec.gov/Archives/edgar/data/1762301/000117891325000559/zk2532679.htm
Lyft,LYFT,rides,2024-12-31,Gross Bookings,16099400000,5365534000,33.33,gross,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Gross Bookings $ 16,099.4 $ 13,775.2 17 % Adjusted EBITDA $ 382.4 $ 222.4 72 % Net income",https://www.sec.gov/Archives/edgar/data/1759509/000175950925000025/lyft-20241231.htm
Uber,UBER,rides and delivery,2024-12-31,Gross Bookings,162773000000,43978000000,27.02,gross,Revenues,,,"Gross Bookings (2) $ 137,865 $ 162,773 18 % 21 % Revenue $ 37,281 $ 43,978 18 % 19 % Incom",https://www.sec.gov/Archives/edgar/data/1543151/000154315125000008/uber-20241231.htm
Etsy,ETSY,handmade and vintage goods,2024-12-31,GMS,12586952000,2808332000,22.31,net,RevenueFromContractWithCustomerExcludingAssessedTax,22.3,total,"GMS (1)(2) $ 12,586,952 $ 13,161,196 (4.4) % $ 13,318,396 (1.2) % Revenue $ 2,808,332 $ 2,",https://www.sec.gov/Archives/edgar/data/1370637/000137063725000017/etsy-20241231.htm
Upwork,UPWK,freelance contracts,2024-12-31,GSV,4008107000,769325000,19.19,net,RevenueFromContractWithCustomerExcludingAssessedTax,,marketplace,"GSV $ 4,008,107 (3) % $ 4,142,252 1 % $ 4,104,891 16 % Marketplace revenue $ 662,108 13 %",https://www.sec.gov/Archives/edgar/data/1627475/000162747525000011/upwk-20241231.htm
eBay,EBAY,resale and collectibles,2024-12-31,GMV,74667000000,10283000000,13.77,net,RevenueFromContractWithCustomerExcludingAssessedTax,13.77,total,"GMV $ 74,667 $ 430 $ 74,237 $ 73,206 2 % 1 % Take rate 13.77 % 13.81 % (0.04) % Year Ended",https://www.sec.gov/Archives/edgar/data/1065088/000106508825000037/ebay-20241231.htm
Airbnb,ABNB,short-term stays,2024-12-31,GBV,81784000000,11102000000,13.57,net,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Gross Booking Value $ 73,252 $ 81,784 12 % Nights and Experiences Booked Nights and Experi",https://www.sec.gov/Archives/edgar/data/1559720/000155972025000010/abnb-20241231.htm
DoorDash,DASH,delivery,2024-12-31,Marketplace GOV,80231000000,10722000000,13.36,gross,RevenueFromContractWithCustomerExcludingAssessedTax,,,"Marketplace GOV $ 53,414 $ 66,771 $ 80,231 Marketplace GOV Y/Y growth 27 % 25 % 20 % Reven",https://www.sec.gov/Archives/edgar/data/1792789/000162828025005715/dash-20241231.htm
